SName,Lyric,Artist,Genres
It'll Be Okay,"Are we gonna make it?
Is this gonna hurt?
Oh, we can try to sedate it
But that never works
Yeah

I start to imagine a world where we don't collide
It's making me sick but we'll heal and the sun will rise

If you tell me you're leaving, I'll make it easy
It'll be okay
If we can't stop the bleeding
We don't have to fix it, we don't have to stay
I will love you either way
Ooh-ooh, it'll be oh, be okay
Ooh-ooh

Oh, the future we dreamed of is fading to black
Oh-oh, oh-oh, oh
Oh, thеre's nothing more painful
Nothing more painful, oh-woah (Oh-woah)

I start to imaginе a world where we don't collide
And it's making me sick but we'll heal and the sun will rise

If you tell me you're leaving, I'll make it easy
It'll be okay (It'll be okay)
And if we can't stop the bleeding
We don't have to fix it, we don't have to stay (Don't have to stay)
I will love you either way
Ooh-ooh, it'll be oh, be okay
Ooh-ooh

I will love you either way
It might be so sweet
It might be so bitter
I will love you either way
It might be so sweet
It might be so bitter (Ooh-ooh)

Oh, if the future we've dreamed of is fading to black
I will love you either way",Shawn Mendes,Pop
There's Nothing Holdin' Me Back,"I wanna follow where she goes
I think about her and she knows it
I wanna let her take control
'cause every time that she gets close, yeah

She pulls me in enough to keep me guessing
Maybe I should stop and start confessing
Confessing, yeah

Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places
That tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
There's nothing holding me back

She says that she's never afraid
Just picture everybody naked
She really doesn't like to wait
Not really into hesitations

Pulls me in enough to keep me guessing
And maybe I should stop and start confessing
Confessing, yeah

Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places
That tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back


'Cause if we lost our minds
And we took it way too far
I know we'd be alright
Know we would be alright
If you are by my side
And we stumbled in the dark
I know we'd be alright
Oh no we would be alright
'Cause if we lost our minds
And we took it way too far
I know we'd be alright
I know we would be alright
If you are by my side
And we stumbled in the dark
I know we'd be alright
We would be alright

Oh, I've been shaking
I love it when you go crazy
You take all my inhibitions
Baby, there's nothing holding me back
You take me places that tear up my reputation
Manipulate my decisions
Baby, there's nothing holding me back
There's nothing holding me back
I feel so free when you're with me, baby

Baby, there's nothing holding me back",Shawn Mendes,Pop
Treat You Better,"I won't lie to you
I know he's just not right for you
And you can tell me if I'm off
But I see it on your face
When you say that he's the one that you want
And you're spending all your time
In this wrong situation
And anytime you want it to stop

I know I can treat you better
Than he can
And any girl like you
deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can

I'll stop time for you
The second you say
You'd like me to
I just wanna give you the loving
That you're missing
Baby, just to wake up with you
Would be everything I need
And this could be so different
Tell me what you want to do

'Cause I know I can treat you better
Than he can
And any girl like you
deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can

Give me a sign
Take my hand, we'll be fine
Promise I won't let you down
Just know that you don't
Have to do this alone
Promise I'll never let you down


'Cause I know I can treat you better
Than he can
And any girl like you
deserves a gentleman
Tell me why are we wasting time
On all your wasted crying
When you should be with me instead
I know I can treat you better
Better than he can
Better than he can
Better than he can
Better than he can
Better than he can",Shawn Mendes,Pop
Stitches,"I thought that I've been hurt before
But no one's ever left me quite this sore
Your words cut deeper than a knife
Now I need someone to breathe me back to life

Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

You watch me bleed until I can't breathe
Shaking, falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
Tripping over myself
Aching begging you to come help
And now that I'm without your kisses
I'll be needing stitches

Just like a moth drawn to a flame
Oh, you lured me in, I couldn't sense the pain
Your bitter heart cold to the touch
Now I'm gonna reap what I sow
I'm left seeing red on my own

Got a feeling that I'm going under
But I know that I'll make it out alive
If I quit calling you my lover
Move on

You watch me bleed until I can't breathe
Shaking, falling onto my knees
And now that I'm without your kisses
I'll be needing stitches
Tripping over myself
Aching begging you to come help
And now that I'm without your kisses
I'll be needing stitches

Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead

Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead

Needle and the thread
Gotta get you out of my head
Needle and the thread
Gonna wind up dead

Needle and the thread
Gotta get you out of my head, get you out of my head

You watch me bleed until I can't breathe
Shaking, falling onto my knees
(Falling on my knees)
And now that I'm without your kisses
I'll be needing stitches
(And I'll be needing stitches)
Tripping over myself
Aching begging you to come help
(Begging, ""baby, please"")
And now that I'm without your kisses
I'll be needing stitches

(And now that)
I'm without your kisses
I'll be needing stitches
(And now that)
I'm without your kisses
I'll be needing stitches",Shawn Mendes,Pop
Never Be Alone,"I promise that one day I'll be around
I'll keep you safe
I'll keep you sound
Right now it's pretty crazy
And I don't know how to stop or slow it down

Hey
I know there are some things
We need to talk about
And I can't stay
So let me hold you for a little longer now

Take a piece of my heart and make it all your own
So when we are apart
You'll never be alone
You'll never be alone
You'll never be alone

When you miss me close your eyes
I may be far but never gone
When you fall asleep at night
Just remember that we lay under the same stars

And hey
I know there are some things we need to talk about
And I can't stay
So let me hold you for a little longer now

And take a piece of my heart and make it all your own
So when we are apart
You'll never be alone
You'll never be alone
You'll never be alone

(Woah oh oh oh oh oh whoa oh
oh oh oh oh oh oh whoa whoh oah...)
You'll never be alone
(Woah oh oh oh oh oh whoa oh
oh oh oh oh oh oh whoa whoh oah...)
You'll never be alone
(Woah oh oh oh oh oh whoa oh
oh oh oh oh oh oh whoa whoh oah...)
You'll never be alone
(Woah oh oh oh oh oh whoa oh
oh oh oh oh oh oh whoa whoh oah...)

And take a piece of my heart and make it all your own
So when we are apart
You'll never be alone
You'll never be alone",Shawn Mendes,Pop
Mercy,"You've got a hold of me
Don't even know your power
I stand a hundred feet
But I fall when I'm around you

Show me an open door
Then you go and slam it on me
I can't take anymore
I'm saying baby

Please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy
Mercy on my heart
Would you please have mercy
Mercy on my heart

I'd drive through the night
Just to be near you baby
Heart open and testify
Tell me that I'm not crazy

I'm not asking for a lot
Just that you're honest with me
My pride Is all I got
I'm saying baby

Please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy on me
I'm a puppet on your string
And even though you got good intentions
I need you to set me free

Would you please have mercy
Mercy on my heart
Would you please have mercy
Mercy on my heart

Consuming all the air inside my lungs
Ripping all the skin from off my bones
I'm prepared to sacrifice my life
I would gladly do it twice
Consuming all the air inside my lungs
Ripping all the skin from off my bones
I'm prepared to sacrifice my life
I would gladly do it twice

Please have mercy on me
Take it easy on my heart
Even though you don't mean to hurt me
You keep tearing me apart
Would you please have mercy on me
I'm a puppet on your string
And even though you got good intentions
I need you to set me free

I'm begging you for mercy, mercy
On my heart
I'm begging you for mercy, mercy
On my heart",Shawn Mendes,Pop
Señorita (With Camila Cabello),"I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya

Land in Miami
The air was hot from summer rain
Sweat drippin' off me
Before I even knew her name, la-la-la
It felt like ooh-la-la-la, yeah no
Sapphire and moonlight, we danced for hours in the sand
Tequila, sunrise
Her body fit right in my hands, la-la-la
It felt like ooh-la-la-la, yeah

I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you know I love it when you call me señorita
I wish it wasn't so damn hard to leave ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya

Locked in the hotel
There's just some things that never change
You say we're just friends
But friends don't know the way you taste, la-la-la
'cause you know it's been a long time coming
Don't ya let me fall, ooh
Hooked on your lips, undress me
Hooked on your tongue
Oh, I love your kiss it's deadly, don't stop

I love it when you call me señorita
I wish I could pretend I didn't need ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you know I love it when you call me señorita
I wish it wasn't so damn hard to leave ya
But every touch is ooh-la-la-la
It's true, la-la-la
Ooh, I should be runnin'
Ooh, you keep me coming for ya

All along I've been coming for ya (for you)
And I hope it means something to you
Call my name, I'll be coming for ya
Calling for ya
For ya
For ya
Ooh, I should be runnin'
Ooh, you keep me comin' for ya",Shawn Mendes,Pop
Monster (With Justin Bieber),"You put me on a pedestal and tell me I'm the best
Rase me up into the sky until I'm short of breath
Fill me up with confidence, I say what's in my chest
Spill my words and tear me down
Until there's nothing left
Rearrange the pieces
Just to fit me with the rest, yeah

But what if I, what if I trip?
What if I, what if I fall?
Then am I the monster?
Just let me know
And what if I, what if I sin?
And what if I, what if I break? (Yeah)
Then am I the monster?
Just let me know (yeah)

I was fifteen when the world put me on a pedestal
I had big dreams of doing shows
and making memories
Made some bad moves trying to act cool
Upset by their jealously
Lifting me up (Lifting me up) , lifting me up (Yeah)
And tearing me down (Down)
Tearing me down (Down, down)
I'll take responsibility for everything I've done (Yeah)
Holding it against me like you're the holy one (Yeah)

I had a chip on my shoulder, had to let it go
'Cause unforgiveness keeps them in control
I came in with good intentions
then I let it go
And now I really wanna know

But what if I, what if I trip? (Oh)
What if I, what if I fall? (I fall)
Then am I the monster? (Am I the monster?)
Just let me know (Let me know)
And what if I, what if I sin? (Oh)
And what if I, what if I break? Yeah
Then am I the monster? (Am I the monster?)
Just let me know
Please just let me know

Please don't let me fall
Oh, please don't let me fall",Shawn Mendes,Pop
In My Blood,"Help me
It's like the walls are caving in
Sometimes I feel like giving up
But, I just can't
It isn't in my blood
Laying on the bathroom floor
Feeling nothing
I'm overwhelmed and insecure
Give me something
I could take to ease my mind slowly

Just have a drink
And you'll feel better
Just take her home
And you'll feel better
Keep telling me that it gets better
Does it ever?

Help me
It's like the walls are caving in
Sometimes I feel like giving up
No medicine is strong enough
Someone help me
I'm crawling in my skin
Sometimes I feel like giving up
But I just can't
It isn't in my blood
It isn't in my blood

Looking through my phone again feeling anxious
Afraid to be alone again, I hate this
I'm trying to find a way to chill
can't breathe, oh
Is there somebody who could

Help me
It's like the walls are caving in
Sometimes I feel like giving up
No medicine is strong enough

Someone help me
I'm crawling in my skin
Sometimes I feel like giving up
But I just can't
it isn't in my blood
It isn't in my blood
I need somebody now
I need somebody now
Someone to help me out
I need somebody now

Help me
It's like the walls are caving in
Sometimes I feel like giving up
But I just can't
it isn't in my blood
It isn't in my blood
it isn't in my blood
I need somebody now
It isn't in my blood
I need somebody now
It isn't in my blood",Shawn Mendes,Pop
Wonder,"I wonder
if I'm being real
Do I speak my truth or do I filter to how I feel?

I wonder
wouldn't it be nice
To live inside a world that isn't black and white?

I wonder
hat it's like to be my friends
Hope that they don't think I forget about them

I wonder
I wonder

Right before I close my eyes
The only thing that's on my mind
Been dreaming that you feel it too
I wonder what it's like to be loved by you
Yeah
I wonder what it's like
I wonder what it's like to be loved by

I wonder, why I'm so afraid
Of saying something wrong
I never said I was a saint

I wonder
when I cry into my hands
I'm conditioned to feel like it makes me less of a man

And I wonder if some day you'll be by my side
And tell me that the world will end up alright

I wonder
I wonder

Right before I close my eyes
The only thing that's on my mind
Been dreaming that you feel it too
I wonder what it's like to be loved by you

Yeah
I wonder what it's like
I wonder what it's like to be loved by you

I wonder what it's like to be loved by you
Yeah
I wonder what it's like to be loved by you
I wonder what it's like to be loved by

Right before I close my eyes
The only thing that's on my mind
Been dreaming that you feel it too
I wonder what it's like to be loved by you",Shawn Mendes,Pop
